snapshot,time,step,flux_signed,flux_unsigned,jz_abs_max,jz_l2,divB_l2,rho_min,rho_max,B_abs_max,Bz_abs_max,vz_abs_max,hall_z_abs_max,psi_az
0,0.0000000000e+00,0,3.9991968693e-02,3.9991968693e-02,1.9573123455e+00,4.5403292775e-01,1.8872901819e-07,2.0000000298e-01,1.1900663376e+00,1.0049079657e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5946578979e-04
1,4.9997960000e+00,10078,4.8414694497e-02,4.8414694497e-02,2.4306874275e+00,4.5919239521e-01,7.7868091466e-05,1.9806581736e-01,1.1625878811e+00,1.0009859800e+00,2.0196082070e-02,2.0762847736e-02,5.6976936758e-03,6.9856643677e-04
2,9.9999600000e+00,20164,9.1566453317e-02,9.1566453317e-02,2.5214240551e+00,4.4951722026e-01,1.8020585412e-04,1.9555689394e-01,1.1912033558e+00,1.0008437634e+00,3.4163337201e-02,3.3839721233e-02,8.4708873183e-03,1.1644363403e-03
3,1.4999560000e+01,30233,1.7772484761e-01,1.7772484761e-01,2.6556437016e+00,4.3731746078e-01,3.6786324927e-04,1.9241809845e-01,1.2725893259e+00,1.0107431412e+00,6.4373590052e-02,7.1706175804e-02,1.8161362037e-02,2.7499198914e-03
4,1.9999760000e+01,40456,3.3699019485e-01,3.3699019485e-01,2.8561475277e+00,4.2371878028e-01,8.5004972061e-04,1.8985657394e-01,1.4130609035e+00,1.0435911417e+00,8.8640943170e-02,1.1589153111e-01,3.2928645611e-02,1.1031150818e-02
5,2.4999720000e+01,51003,6.9851206394e-01,7.1937363010e-01,3.0819013119e+00,4.0052881837e-01,1.7791900318e-03,1.8191212416e-01,1.5887999535e+00,1.0925250053e+00,1.4806936681e-01,2.9785978794e-01,8.3397373557e-02,2.0209789276e-02
6,2.9999930000e+01,62613,1.5511791606e+00,1.5511791606e+00,2.9079666138e+00,3.3754333854e-01,2.2440378089e-03,1.5464732051e-01,1.7387796640e+00,1.1475058794e+00,2.2561772168e-01,7.0309931040e-01,2.5150194764e-01,2.1267414093e-02
7,3.4999830000e+01,81044,2.1089129095e+00,2.9902407080e+00,2.5906445980e+00,2.8358525038e-01,1.6130272998e-03,8.7146960199e-02,3.7319092751e+00,1.2479562759e+00,3.7634947896e-01,9.5805829763e-01,4.4742724299e-01,4.4064688683e-01
8,3.9999920000e+01,102351,2.2779524265e+00,4.2814825107e+00,2.1920161247e+00,3.2566925883e-01,1.3681186829e-03,7.0862703025e-02,3.7855565548e+00,1.3459903002e+00,2.4001733959e-01,9.1319233179e-01,8.4376001358e-01,1.0017397404e+00
9,4.5000000000e+01,126867,2.5197990723e+00,4.8037305769e+00,1.3276767731e+00,2.5857207179e-01,3.8881847286e-04,7.1596615016e-02,3.4855175018e+00,1.2888077497e+00,4.1531270742e-01,5.4465258121e-01,2.5327068567e-01,1.1419024467e+00
10,4.9999820000e+01,154396,2.6803265349e+00,4.3995143232e+00,1.3899490833e+00,2.7059042454e-01,3.5489455331e-04,8.3779230714e-02,2.2814879417e+00,1.1284648180e+00,1.1229724437e-01,4.3215432763e-01,1.8791118264e-01,8.5941743851e-01
11,5.4999940000e+01,176478,2.5854346966e+00,4.4260146132e+00,1.5370004177e+00,2.5082352757e-01,4.4758143486e-04,8.2721337676e-02,3.5759716034e+00,1.1602092981e+00,1.5906433761e-01,5.0131493807e-01,1.6124071181e-01,8.8645124435e-01
12,6.0000000000e+01,194828,2.7213162552e+00,4.5524607508e+00,1.0786129236e+00,2.4946208298e-01,4.0062874905e-04,8.9138813317e-02,2.8176391125e+00,1.2749431133e+00,2.2277489305e-01,4.4510394335e-01,2.0840874314e-01,9.1541743279e-01
